"p_symbol","last_close","last_volume","avg_volume","pct_change_1_day","pct_change_1_week","pct_change_1_month","pct_change_3_months","pct_change_1_year","sma_5","ema_5","sma_13","ema_13","sma_20","ema_20","sma_34","ema_34","sma_50","ema_50","sma_89","ema_89","sma_200","ema_200","bband_upper","bband_lower","bband_mid","macd","macd_signal","macd_hist","adx","dmi_plus","dmi_minus","rsi","stoch_k","stoch_d","cci","psar","true_range","atr","williams_r","trix","stochrsi_k","stochrsi_d","momentum","candle","p_date"
"20MICRONS","104.75","180833.00","506098.78","-2.69","-5.25","-2.47","52.59","82.02","107.19","106.73","106.90","107.10","107.82","106.42","106.82","103.43","98.61","99.74","88.03","93.32","82.34","82.87","113.30","102.34","107.82","1.84","2.77","-0.93","17.88","17.68","18.91","49.45","9.66","19.67","-78.95","114.79","3.90","5.83","-82.26","","0.00","6.48","-2.65","","2022-09-21"
"21STCENMGM","24.70","14243.00","6984.24","1.86","-5.36","-11.94","12.27","-39.16","24.85","24.93","26.08","25.87","27.23","26.22","26.63","26.29","26.11","26.22","25.09","26.78","32.04","29.06","30.88","23.57","27.23","-0.51","-0.06","-0.46","25.02","14.88","34.09","34.75","21.48","7.27","-129.36","26.30","0.70","0.79","-85.57","","67.86","22.62","-3.35","","2022-09-21"
"3IINFOLTD","46.95","597758.00","700790.96","-2.80","-6.66","6.34","15.36","413.11","48.92","48.46","49.18","48.53","47.78","47.84","45.64","46.71","44.80","46.25","44.65","47.21","59.74","47.86","53.24","42.32","47.78","1.33","1.63","-0.30","30.49","24.23","19.99","49.17","2.16","3.83","-64.71","54.20","2.65","2.45","-91.19","","0.00","1.17","2.80","","2022-09-21"
"3MINDIA","22986.65","3352.00","4574.80","-3.90","0.77","2.80","17.01","-8.91","23431.93","23326.93","23089.94","23170.51","23050.06","23085.67","22971.64","22918.04","22929.72","22687.27","21777.15","22291.42","22125.85","22302.38","23796.96","22303.17","23050.06","166.44","126.23","40.21","17.45","19.24","15.31","49.75","37.09","55.77","52.43","22621.70","1214.95","726.04","-75.84","","0.00","41.00","625.15","","2022-09-21"
"3PLAND","18.00","2672.00","11178.52","1.41","0.56","-4.51","25.00","31.39","17.99","17.94","17.96","17.88","17.98","17.71","17.16","17.28","16.63","16.87","15.56","16.38","16.36","15.70","18.69","17.26","17.98","0.37","0.48","-0.11","21.40","15.13","16.45","55.60","46.45","48.99","-72.73","19.39","0.80","1.16","-57.45","","53.22","35.09","-0.85","","2022-09-21"
"5PAISA","342.95","21073.00","50575.94","-2.34","-8.85","24.26","20.59","-26.70","359.31","353.83","356.36","349.53","339.45","340.56","315.30","327.20","305.26","319.70","304.24","318.08","342.70","336.64","398.24","280.67","339.45","16.85","18.20","-1.36","37.71","30.80","20.78","55.14","5.11","12.18","-77.22","391.15","16.75","16.92","-77.80","","0.00","0.00","66.95","","2022-09-21"
"63MOONS","177.20","73592.00","93170.36","-2.23","-5.06","-4.19","16.89","86.82","180.18","180.02","183.05","182.08","182.75","182.74","184.71","183.15","185.10","183.75","178.16","187.21","212.95","184.70","190.88","174.63","182.75","-1.07","-0.33","-0.73","14.09","17.15","18.68","44.72","8.70","15.02","-101.63","169.85","6.50","9.21","-65.18","","11.17","20.82","-7.75","","2022-09-21"
"A2ZINFRA","11.25","152119.00","410301.02","-1.32","-5.86","-10.36","8.70","161.63","11.61","11.59","12.25","12.01","12.33","12.16","12.64","12.23","12.28","12.17","11.90","11.91","11.17","10.73","13.34","11.32","12.33","-0.24","-0.07","-0.17","22.24","13.94","22.64","34.45","16.35","21.56","-138.10","13.28","0.45","0.65","-93.62","","0.00","7.14","-1.30","","2022-09-21"
"AAATECH","77.40","81000.00","36390.00","-9.95","-16.23","-31.08","4.59","83.20","88.03","89.10","112.59","103.23","114.68","107.40","112.83","108.11","109.53","105.26","92.90","96.82","74.12","80.50","153.25","76.12","114.68","-6.25","0.07","-6.32","38.74","27.46","45.89","25.24","2.23","7.57","-106.16","131.56","8.55","8.09","-100.00","","0.00","0.00","-34.90","","2022-09-21"
"AAKASH","14.50","300170.00","262410.94","-4.29","-9.66","14.62","-29.10","-48.31","14.91","14.83","14.25","14.37","13.57","14.05","13.29","13.96","13.49","14.38","15.49","16.05","21.63","18.65","16.21","10.94","13.57","0.49","0.29","0.20","23.06","26.84","21.68","55.17","40.76","47.26","38.39","15.96","0.80","0.75","-37.80","","0.00","15.48","1.85","","2022-09-21"
"AARON","163.65","8210.00","33687.42","-2.12","-9.96","25.64","48.98","62.03","169.36","169.01","179.00","171.17","170.81","167.47","155.17","158.83","145.21","151.15","131.99","140.10","125.12","125.47","209.87","131.75","170.81","7.82","11.22","-3.40","32.29","20.31","19.76","50.40","16.48","13.79","-141.85","199.35","13.15","12.17","-90.19","","0.00","0.00","33.40","","2022-09-21"
